Source,Target,Type,Weight
A,AAP,Undirected,0.376600
A,AAPL,Undirected,0.380182
A,ABC,Undirected,0.441927
A,ABT,Undirected,0.379033
A,ACN,Undirected,0.304093
A,ADBE,Undirected,0.427081
A,ADM,Undirected,0.394477
A,ADP,Undirected,0.490499
A,ADS,Undirected,0.193071
A,ADSK,Undirected,0.364551
A,AEE,Undirected,0.387345
A,AEP,Undirected,0.431061
A,AES,Undirected,0.404939
A,AET,Undirected,0.397279
A,AFL,Undirected,0.486342
A,AIG,Undirected,0.400892
A,AIV,Undirected,0.379734
A,AIZ,Undirected,0.327008
A,AJG,Undirected,0.289151
A,AKAM,Undirected,0.375505
A,ALB,Undirected,0.387594
A,ALGN,Undirected,0.354688
A,ALK,Undirected,0.323776
A,ALL,Undirected,0.422294
A,ALXN,Undirected,0.367662
A,AMAT,Undirected,0.427133
A,AMD,Undirected,0.304870
A,AME,Undirected,0.450593
A,AMG,Undirected,0.502511
A,AMGN,Undirected,0.299518
A,AMP,Undirected,0.549280
A,AMT,Undirected,0.385445
A,AMZN,Undirected,0.422710
A,AN,Undirected,0.409688
A,ANSS,Undirected,0.364552
A,ANTM,Undirected,0.374082
A,APA,Undirected,0.455547
A,APC,Undirected,0.449634
A,APD,Undirected,0.485853
A,APH,Undirected,0.517762
A,ARE,Undirected,0.388785
A,ARNC,Undirected,0.501126
A,ATVI,Undirected,0.373110
A,AVB,Undirected,0.344254
A,AVY,Undirected,0.463479
A,AXP,Undirected,0.449840
A,AYI,Undirected,0.392045
A,AZO,Undirected,0.367493
A,BA,Undirected,0.379590
A,BAC,Undirected,0.481174
A,BAX,Undirected,0.407307
A,BBBY,Undirected,0.348241
A,BBT,Undirected,0.458796
A,BBY,Undirected,0.396839
A,BCR,Undirected,0.379550
A,BDX,Undirected,0.318205
A,BEN,Undirected,0.554713
A,BF,Undirected,0.390503
A,BHI,Undirected,0.433546
A,BIIB,Undirected,0.322958
A,BK,Undirected,0.488425
A,BLK,Undirected,0.410117
A,BLL,Undirected,0.532816
A,BMY,Undirected,0.409079
A,BRK,Undirected,0.153755
A,BSX,Undirected,0.231575
A,BWA,Undirected,0.425170
A,BXP,Undirected,0.359243
A,C,Undirected,0.418653
A,CA,Undirected,0.466133
A,CAG,Undirected,0.433113
A,CAH,Undirected,0.366736
A,CAT,Undirected,0.504383
A,CB,Undirected,0.359015
A,CBG,Undirected,0.419174
A,CBS,Undirected,0.503160
A,CCL,Undirected,0.376256
A,CELG,Undirected,0.387984
A,CERN,Undirected,0.405229
A,CF,Undirected,0.439405
A,CHD,Undirected,0.344398
A,CHK,Undirected,0.410642
A,CHRW,Undirected,0.431358
A,CI,Undirected,0.413697
