Source,Target,Type,Weight
A,AAP,Undirected,0.422911
A,AAPL,Undirected,0.338677
A,ABBV,Undirected,0.433101
A,ABC,Undirected,0.503288
A,ABT,Undirected,0.405736
A,ACN,Undirected,0.582669
A,ADBE,Undirected,0.345546
A,ADI,Undirected,0.069092
A,ADM,Undirected,0.526950
A,ADP,Undirected,0.299150
A,ADS,Undirected,0.540229
A,ADSK,Undirected,0.318522
A,AEE,Undirected,0.550720
A,AEP,Undirected,0.473756
A,AES,Undirected,0.561675
A,AET,Undirected,0.447628
A,AFL,Undirected,0.605706
A,AIG,Undirected,0.450394
A,AIV,Undirected,0.544839
A,AIZ,Undirected,0.527656
A,AJG,Undirected,0.515287
A,AKAM,Undirected,0.286654
A,ALB,Undirected,0.677879
A,ALGN,Undirected,0.243945
A,ALK,Undirected,0.481977
A,ALL,Undirected,0.541197
A,ALXN,Undirected,0.240644
A,AMAT,Undirected,0.319091
A,AMD,Undirected,0.296749
A,AME,Undirected,0.671028
A,AMG,Undirected,0.629241
A,AMGN,Undirected,0.212343
A,AMP,Undirected,0.616021
A,AMT,Undirected,0.319211
A,AMZN,Undirected,0.292782
A,AN,Undirected,0.473627
A,ANSS,Undirected,0.310118
A,ANTM,Undirected,0.464885
A,AON,Undirected,0.186768
A,APA,Undirected,0.608711
A,APC,Undirected,0.581955
A,APD,Undirected,0.656781
A,APH,Undirected,0.682936
A,ARE,Undirected,0.559368
A,ARNC,Undirected,0.629496
A,ATVI,Undirected,0.263711
A,AVB,Undirected,0.527299
A,AVY,Undirected,0.652855
A,AWK,Undirected,-0.008908
A,AXP,Undirected,0.573629
A,AYI,Undirected,0.648913
A,AZO,Undirected,0.393789
A,BA,Undirected,0.611440
A,BAC,Undirected,0.522450
A,BAX,Undirected,0.474021
A,BBBY,Undirected,0.276917
A,BBT,Undirected,0.500680
A,BBY,Undirected,0.481939
A,BCR,Undirected,0.536692
A,BDX,Undirected,0.514191
A,BEN,Undirected,0.638046
A,BF,Undirected,0.488997
A,BHI,Undirected,0.570614
A,BIIB,Undirected,0.240293
A,BK,Undirected,0.538237
A,BLK,Undirected,0.591625
A,BLL,Undirected,0.602509
A,BMY,Undirected,0.432480
A,BRK,Undirected,0.537298
A,BSX,Undirected,0.534863
A,BWA,Undirected,0.612751
A,BXP,Undirected,0.551141
