Source,Target,Type,Weight
A,EXPD,Undirected,0.428964
A,EXPE,Undirected,0.453592
A,EXR,Undirected,0.275133
A,F,Undirected,0.477212
A,FAST,Undirected,0.424679
A,FB,Undirected,0.399438
A,FBHS,Undirected,0.468303
A,FCX,Undirected,0.369534
A,FDX,Undirected,0.507801
A,FE,Undirected,0.180636
A,FFIV,Undirected,0.392958
A,FIS,Undirected,0.544111
A,FISV,Undirected,0.553976
A,FITB,Undirected,0.492157
A,FL,Undirected,0.325398
A,FLIR,Undirected,0.501628
A,FLR,Undirected,0.509469
A,FLS,Undirected,0.467216
A,FMC,Undirected,0.481568
A,FOX,Undirected,0.451004
A,FOXA,Undirected,0.445878
A,FRT,Undirected,0.291713
A,FTI,Undirected,0.104402
A,FTV,Undirected,0.033522
A,GD,Undirected,0.518313
A,GE,Undirected,0.505125
A,GGP,Undirected,0.310119
A,GILD,Undirected,0.426241
A,GIS,Undirected,0.324567
A,GLW,Undirected,0.517322
A,GM,Undirected,0.463877
A,GOOG,Undirected,0.462603
A,GOOGL,Undirected,0.458716
A,GPC,Undirected,0.467837
A,GPN,Undirected,0.503144
A,GPS,Undirected,0.273380
A,GRMN,Undirected,0.423113
A,GS,Undirected,0.546856
A,GT,Undirected,0.482806
A,GWW,Undirected,0.407424
A,HAL,Undirected,0.433766
A,HAS,Undirected,0.370540
A,HBAN,Undirected,0.519343
A,HBI,Undirected,0.360051
A,HCA,Undirected,0.396041
A,HCN,Undirected,0.181609
A,HCP,Undirected,0.180989
A,HD,Undirected,0.469161
A,HES,Undirected,0.366579
A,HIG,Undirected,0.502147
A,HLT,Undirected,-0.001888
A,HOG,Undirected,0.457530
A,HOLX,Undirected,0.433845
A,HON,Undirected,0.577850
A,HP,Undirected,0.358996
A,HPE,Undirected,-0.021347
A,HPQ,Undirected,0.357373
A,HRB,Undirected,0.364628
A,HRL,Undirected,0.331137
A,HRS,Undirected,0.497680
A,HSIC,Undirected,0.551517
A,HST,Undirected,0.459772
A,HSY,Undirected,0.352807
A,HUM,Undirected,0.287259
A,IBM,Undirected,0.423042
A,ICE,Undirected,-0.037538
A,IDXX,Undirected,0.420109
A,IFF,Undirected,0.502341
A,ILMN,Undirected,0.471302
A,INCY,Undirected,0.375523
A,INFO,Undirected,0.029581
A,INTC,Undirected,0.466986
A,INTU,Undirected,0.485795
A,IP,Undirected,0.452849
A,IPG,Undirected,0.511173
A,IR,Undirected,0.555031
A,IRM,Undirected,-0.023016
A,ISRG,Undirected,0.394582
A,IT,Undirected,0.524504
A,ITW,Undirected,0.604134
A,IVZ,Undirected,0.589553
A,JBHT,Undirected,0.449477
A,JCI,Undirected,-0.037348
A,JEC,Undirected,0.500791
A,JNJ,Undirected,0.481863
A,JNPR,Undirected,0.389117
A,JPM,Undirected,0.555365
A,JWN,Undirected,0.314021
A,K,Undirected,0.315430
A,KEY,Undirected,0.518218
A,KHC,Undirected,0.039339
A,KIM,Undirected,0.298458
A,KLAC,Undirected,0.471750
A,KMB,Undirected,0.333382
A,KMI,Undirected,0.344459
A,KMX,Undirected,0.486113
A,KO,Undirected,0.307811
A,KORS,Undirected,0.333376
A,KR,Undirected,0.269740
A,KSS,Undirected,0.277062
A,KSU,Undirected,0.460401
A,L,Undirected,0.548414
A,LB,Undirected,0.293438
A,LEG,Undirected,0.495166
A,LEN,Undirected,0.415123
A,LH,Undirected,0.450385
A,LKQ,Undirected,0.427102
A,LLL,Undirected,0.442334
A,LLY,Undirected,0.413215
A,LNC,Undirected,0.565434
A,LNT,Undirected,0.241057
A,LOW,Undirected,0.446471
A,LRCX,Undirected,0.505352
A,LUK,Undirected,0.498041
A,LUV,Undirected,0.427638
A,LVLT,Undirected,0.430599
A,LYB,Undirected,0.448287
